"","cell","patient","number_batch","experiment","depletion_batch"
"PT089_P1_A01","PT089_P1_A01","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A02","PT089_P1_A02","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A03","PT089_P1_A03","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A04","PT089_P1_A04","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A05","PT089_P1_A05","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A06","PT089_P1_A06","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A07","PT089_P1_A07","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A08","PT089_P1_A08","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A09","PT089_P1_A09","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A10","PT089_P1_A10","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A12","PT089_P1_A12","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B01","PT089_P1_B01","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B02","PT089_P1_B02","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B03","PT089_P1_B03","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B04","PT089_P1_B04","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B06","PT089_P1_B06","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B07","PT089_P1_B07","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B08","PT089_P1_B08","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B09","PT089_P1_B09","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B11","PT089_P1_B11","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B12","PT089_P1_B12","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C01","PT089_P1_C01","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C02","PT089_P1_C02","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C03","PT089_P1_C03","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C04","PT089_P1_C04","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C05","PT089_P1_C05","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C06","PT089_P1_C06","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C07","PT089_P1_C07","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C08","PT089_P1_C08","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C09","PT089_P1_C09","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C10","PT089_P1_C10","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C11","PT089_P1_C11","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C12","PT089_P1_C12","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D01","PT089_P1_D01","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D02","PT089_P1_D02","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D03","PT089_P1_D03","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D04","PT089_P1_D04","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D05","PT089_P1_D05","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D06","PT089_P1_D06","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D07","PT089_P1_D07","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D08","PT089_P1_D08","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D09","PT089_P1_D09","PT089","B5","Exp1","depleted_yes"
