"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Blood vessel","Endothelial cell","Normal","CD31","Experiment","8","more details"
"Human","Blood vessel","Stem cell","Normal","Nestin","Experiment","6","more details"
"Human","Serum","Macrophage","Normal","CD68","Experiment","6","more details"
"Human","Blood","Basophil","Normal","CD63","Experiment","5","more details"
"Human","Blood","Memory B cell","Normal","CD27","Experiment","3","more details"
"Human","Blood","T cell","Normal","CD3","Experiment","3","more details"
"Human","Peripheral blood","Basophil","Normal","CD203c","Experiment","3","more details"
"Mouse","Serum","Macrophage","Normal","F4/80","Experiment","3","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD31, CD34","Experiment","2","more details"
"Human","Blood","Cancer stem cell","Breast Cancer","CD44","Experiment","2","more details"
"Human","Blood","Cancer stem cell","Gastric Cancer","CD44","Experiment","2","more details"
"Human","Blood","B cell","Normal","CD19","Experiment","2","more details"
"Human","Blood","Basophil","Normal","CD203c, CD63","Experiment","2","more details"
"Human","Blood","Dendritic cell","Normal","CD83","Experiment","2","more details"
"Human","Blood","Memory B cell","Normal","CD19, CD27","Experiment","2","more details"
"Human","Blood","Monocyte","Normal","CD14","Experiment","2","more details"
"Human","Blood","Neutrophil","Normal","CD66b","Experiment","2","more details"
"Human","Blood","White blood cell","Normal","CD45","Experiment","2","more details"
"Human","Peripheral blood","Cancer cell","Melanoma (circulating)","ABCB5, CD271, MCAM, MCSP","Experiment","2","more details"
"Human","Peripheral blood","B cell","Normal","CD19","Experiment","2","more details"
"Human","Peripheral blood","Basophil","Normal","CD203c, CD63","Experiment","2","more details"
"Human","Peripheral blood","Basophil","Normal","CD63","Experiment","2","more details"
"Human","Peripheral blood","CD4+ T cell","Normal","CD4","Experiment","2","more details"
"Human","Peripheral blood","Endothelial progenitor cell","Normal","CD133, KDR","Experiment","2","more details"
"Human","Peripheral blood","Leukocyte","Normal","CD45","Experiment","2","more details"
"Human","Peripheral blood","Monocyte","Normal","CD14","Experiment","2","more details"
"Human","Peripheral blood","Natural killer cell","Normal","CD56","Experiment","2","more details"
"Human","Peripheral blood","Non-switched memory B cell","Normal","CD19, CD27, IgD","Experiment","2","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","CD39","Experiment","2","more details"
"Human","Serum","Macrophage","Normal","CD11b","Experiment","2","more details"
"Human","Serum","Macrophage","Normal","F4/80","Experiment","2","more details"
"Mouse","Peripheral blood","B cell","Normal","CD19","Experiment","2","more details"
"Human","Antecubital vein","Endothelial cell","Normal","CD105, CD11b, CD146, CD34, CD45","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Brain Cancer","CD133, Nestin","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Glioma","CD31, VEGF","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD102, CD31, TIE-1, TIE-2, VEGF","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD105, VEGFR","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD105","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD31, CD34, CD39, VEGFR-2","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD34","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","Endoglin, VE-Cadherin","Experiment","1","more details"
"Human","Blood vessel","Endothelial progenitor cell","Normal","CD133, CD34","Experiment","1","more details"
"Human","Blood vessel","Mesenchymal stromal cell","Normal","CD90","Experiment","1","more details"
"Human","Blood vessel","Smooth muscle cell","Normal","ACTA2","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","C-Kit, CD30, OCT4, PLAP","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","CD31, CD71, CD90, Nestin","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","CD34","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","OCT4, SOX2","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Pancreatic Cancer","CD31","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Acute Myelogenous Leukemia","N-cadherin, TIE-2","Experiment","1","more details"
"Human","Blood","Cancer cell","Breast Cancer (circulating)","CD24, CD44, CD45, EpCAM, Integrin beta-1, uPAR","Experiment","1","more details"
"Human","Blood","Cancer cell","Breast Cancer (circulating)","EpCAM, HER2, PSA","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Breast Cancer","CD3, CD56","Experiment","1","more details"
"Human","Blood","Epithelial cell","Breast Cancer","Cytokeratin-19","Experiment","1","more details"
